,,,,,,,
0.002933334,50.76896,73.6643,6.321343,0.1938051,1.22294,99.90224,#DIV/0!
0.004333333,50.7501,73.66421,6.33977,0.1957051,1.234863,100.0046,#DIV/0!
0.01266666,50.73641,73.66413,6.358082,0.1975937,1.246714,100.1481,#DIV/0!
0.021,50.71924,73.66404,6.376664,0.1995097,1.258736,99.87906,#DIV/0!
0.02933333,50.69856,73.66394,6.395057,0.2014075,1.27064,99.92707,#DIV/0!
0.03766667,50.68504,73.66386,6.413538,0.2033147,1.2826,100.1125,#DIV/0!
0.046,50.66916,73.66376,6.431932,0.2052124,1.294502,100.0888,#DIV/0!
0.05433334,50.65668,73.66368,6.449907,0.207067,1.306134,99.86166,#DIV/0!
0.06266666,50.63788,73.66362,6.467877,0.2089217,1.317762,99.99171,#DIV/0!
0.071,50.61951,73.66359,6.485871,0.21078,1.329409,100.0953,#DIV/0!
0.07933334,50.61125,73.66351,6.503785,0.2126293,1.341002,99.94149,#DIV/0!
0.08766666,50.59774,73.66345,6.521628,0.214471,1.352548,99.95246,#DIV/0!
0.096,50.57984,73.6634,6.539332,0.2162984,1.364003,100.1608,#DIV/0!
0.1043333,50.56454,73.66336,6.556465,0.218068,1.375091,99.87554,#DIV/0!
0.1126666,50.5542,73.66328,6.573118,0.2197874,1.385866,99.95571,#DIV/0!
0.121,50.5425,73.6632,6.590094,0.2215394,1.396849,100.1411,#DIV/0!
0.1293333,50.5314,73.66312,6.606782,0.2232622,1.407646,99.94952,#DIV/0!
0.1376667,50.51996,73.66303,6.623406,0.224978,1.4184,99.93445,#DIV/0!
0.146,50.51287,73.66298,6.639814,0.226671,1.429014,99.96924,#DIV/0!
0.1543334,50.50257,73.66287,6.655722,0.228312,1.439302,100.1389,#DIV/0!
0.1626666,50.49772,73.6628,6.671426,0.2299315,1.449457,99.92743,#DIV/0!
0.171,50.48692,73.66272,6.686675,0.2315043,1.459317,99.93124,#DIV/0!
0.1793333,50.48447,73.66262,6.701326,0.2330146,1.46879,100.1755,#DIV/0!
0.1876666,50.4704,73.66252,6.715984,0.2345249,1.478265,99.87732,#DIV/0!
0.196,50.47172,73.66241,6.730184,0.2359881,1.487444,99.92969,#DIV/0!
0.2043333,50.47112,73.66231,6.743978,0.237408,1.496356,100.1468,#DIV/0!
0.2126666,50.47086,73.66226,6.757218,0.2387698,1.504908,99.93799,#DIV/0!
0.221,50.47537,73.66218,6.769749,0.2400576,1.513,99.91706,#DIV/0!
0.2293333,50.47663,73.66206,6.781574,0.2412721,1.520635,100.005,#DIV/0!
0.2376666,50.47624,73.66199,6.79289,0.2424332,1.527938,100.2081,#DIV/0!
0.246,50.48486,73.6619,6.802869,0.243456,1.534375,99.90556,#DIV/0!
0.2543334,50.49424,73.66184,6.811889,0.2443784,1.540189,99.89124,#DIV/0!
0.2626667,50.50024,73.66174,6.820196,0.2452266,1.54554,100.1511,#DIV/0!
0.271,50.51072,73.66166,6.827308,0.2459503,1.550117,99.90128,#DIV/0!
0.2793333,50.52362,73.66162,6.833399,0.2465671,1.55403,99.96704,#DIV/0!
